yardline_100,ydstogo,td_prob,fg_prob,opp_td_prob,opp_fg_prob,no_score_prob
1.0,1.0,0.49979293,0.37828746,0.034330226,0.019380964,0.06352135
2.0,1.0,0.38563564,0.5001728,0.028435208,0.01681108,0.06529627
2.0,2.0,0.08539727,0.8669254,0.0126564,0.009129389,0.024740139
3.0,1.0,0.4312511,0.43804428,0.033367172,0.02155757,0.0716477
3.0,2.0,0.06099511,0.90509224,0.012421972,0.008844576,0.011814594
3.0,3.0,0.039459884,0.91909426,0.008328286,0.005789342,0.02655079
4.0,1.0,0.31982836,0.54260695,0.028172044,0.017221348,0.088727824
4.0,2.0,0.08212839,0.853716,0.013283481,0.0108130295,0.038655158
4.0,3.0,0.022978714,0.9616758,0.007925512,0.005674614,0.0012884819
4.0,4.0,0.023513881,0.937558,0.006635324,0.004627597,0.02703676
5.0,1.0,0.29343954,0.6087763,0.03339936,0.019644646,0.043156963
5.0,2.0,0.082566984,0.85911745,0.016480276,0.010940563,0.030000621
5.0,3.0,0.019158546,0.96022266,0.0072771166,0.0053015426,0.00775318
5.0,4.0,0.013638387,0.9700895,0.006453705,0.00415938,0.005429392
5.0,5.0,0.012440879,0.9678873,0.0054901373,0.0036041506,0.010350319
6.0,1.0,0.31437588,0.5733885,0.033963114,0.02041056,0.056307368
6.0,2.0,0.05143062,0.9181118,0.009880015,0.0076254406,0.0124862725
6.0,3.0,0.048592377,0.9204447,0.014357171,0.009796775,0.006202799
6.0,4.0,0.032345396,0.9276262,0.008984208,0.0062773544,0.024360226
6.0,5.0,0.013041431,0.96524566,0.0055676717,0.0037240337,0.012222959
6.0,6.0,0.015554129,0.9550668,0.0062412424,0.004278306,0.018581286
7.0,1.0,0.3100558,0.5862051,0.035087653,0.021117803,0.045724094
7.0,2.0,0.08463967,0.85837996,0.016760018,0.01221321,0.027107744
7.0,3.0,0.017844794,0.9570497,0.007547868,0.004910351,0.012348874
7.0,4.0,0.01657036,0.9558776,0.0072187814,0.0047330414,0.015327617
7.0,5.0,0.015258241,0.95394963,0.0058273394,0.004018589,0.020708257
7.0,6.0,0.019923091,0.93330616,0.008179012,0.0042371266,0.033966374
7.0,7.0,0.013541714,0.9565857,0.0070295003,0.0044888984,0.018093852
8.0,1.0,0.34420207,0.5428339,0.04068247,0.025019435,0.04538296
8.0,2.0,0.06957841,0.8762119,0.012617254,0.009047467,0.031829644
8.0,3.0,0.030846959,0.92185944,0.0062130787,0.0044799275,0.036216523
8.0,4.0,0.03120448,0.93196774,0.010575428,0.0076644206,0.018062394
8.0,5.0,0.01664214,0.94829446,0.0077634095,0.004689194,0.022307474
