yardline_100,ydstogo,epa,wpa
1.0,1.0,-3.6133127,-0.07758347
2.0,1.0,-3.1901572,-0.10748935
2.0,2.0,-2.1404135,-0.08275278
3.0,1.0,-2.5764866,-0.11048692
3.0,2.0,-3.322733,-0.10963482
3.0,3.0,-1.9810174,-0.060255513
4.0,1.0,-3.2730045,-0.07504885
4.0,2.0,-1.690285,-0.0655718
4.0,3.0,-3.2318416,-0.10509359
4.0,4.0,-1.0456022,-0.027689623
5.0,1.0,-2.1918702,-0.14735655
5.0,2.0,0.9812882,0.004291475
5.0,3.0,3.256201,0.023403704
5.0,4.0,-0.10871534,-0.00087308884
5.0,5.0,-1.2772748,-0.009477861
6.0,1.0,-3.2292526,-0.088640794
6.0,2.0,-0.82189715,-0.034506083
6.0,3.0,-1.7889258,-0.06091612
6.0,4.0,-1.2963731,-0.02991677
6.0,5.0,-2.855403,-0.1936284
6.0,6.0,-2.3143015,-0.07510621
7.0,1.0,-3.8955154,-0.087455295
7.0,2.0,-1.4862466,-0.027744493
7.0,3.0,0.40818936,-0.018750595
7.0,4.0,-0.5437028,-0.008339937
7.0,5.0,-2.8740416,-0.08300238
7.0,6.0,0.36772662,-0.0031418204
7.0,7.0,-0.18871118,-0.015588497
8.0,1.0,-3.2897365,-0.06783398
8.0,2.0,-1.623167,-0.03147458
8.0,3.0,-3.0429242,-0.04404886
8.0,4.0,-1.5461223,-0.010481143
8.0,5.0,-2.5683525,-0.088957846
8.0,7.0,-2.7746544,-0.0013614019
8.0,8.0,-0.7152449,-0.016948806
9.0,1.0,-3.7473311,-0.061034463
9.0,2.0,-3.0738425,-0.055165496
9.0,3.0,-2.9651148,-0.3261351
9.0,4.0,-3.1054077,-0.036458407
9.0,5.0,-2.679208,-0.0033803098
9.0,8.0,-2.235236,-0.3536043
9.0,9.0,-2.6409907,-0.056592576
10.0,1.0,-1.019748,-0.03952621
10.0,4.0,-0.1910137,0.016479136
10.0,5.0,-2.9744232,-0.034376
10.0,6.0,-0.1530293,-0.0043617245
10.0,7.0,-2.8355615,-0.0011155166
10.0,8.0,-2.6155667,-0.00011646174
10.0,9.0,-3.0074847,-0.09031105
10.0,10.0,-2.4774165,0.0013429757
11.0,1.0,-3.345795,-0.05323932
11.0,2.0,-3.0092473,-0.0016306969
11.0,3.0,-1.361279,-0.033823177
11.0,4.0,-1.8865522,-0.00081304554
11.0,5.0,-2.7789547,-0.000120757395
11.0,8.0,-3.0959265,-0.19170307
11.0,10.0,-1.5962356,-0.013088999
11.0,11.0,-0.5046206,0.009416844
12.0,1.0,-2.3226383,-0.061608296
12.0,2.0,-0.360643,-0.03623426
12.0,3.0,3.0007873,0.11726424
12.0,4.0,-1.4843664,-0.016161565
12.0,5.0,-0.309309,0.00012871978
12.0,7.0,-1.4421769,-0.011149747
12.0,10.0,-0.27135912,-0.043197572
12.0,12.0,-0.9918992,-0.00048667993
13.0,1.0,-3.1742375,-0.10345912
13.0,2.0,-0.7474148,0.002563314
13.0,3.0,-3.1436594,-0.025620187
13.0,4.0,-2.9285598,-0.107758075
13.0,10.0,-0.8722603,-0.006292579
13.0,11.0,2.282375,0.03215152
13.0,13.0,-1.6472663,-0.00063002633
14.0,1.0,-3.6697268,-0.08432856
14.0,2.0,-3.2673872,-0.04409059
14.0,3.0,-1.9044708,-0.048832983
14.0,4.0,-1.6830602,-0.023717936
14.0,5.0,-0.21351016,-0.00695312
14.0,6.0,-2.037093,-0.005846955
14.0,7.0,-2.6100228,-0.0002940071
14.0,9.0,0.11993929,-0.007534504
14.0,10.0,2.3253648,0.081892654
14.0,14.0,-0.95156044,0.0020854513
15.0,1.0,-2.64751,-0.093602866
15.0,2.0,-1.8567035,-0.038719
15.0,4.0,-3.0812464,-0.14980981
15.0,5.0,-3.538645,-0.010611597
15.0,6.0,-0.6096853,0.022093479
15.0,9.0,2.784839,0.046439826
15.0,10.0,-2.3903835,-0.085467845
15.0,12.0,-1.6555637,0.0063587483
15.0,15.0,0.72676235,0.00052934885
16.0,1.0,-3.6924248,-0.095277846
16.0,2.0,-1.2754933,0.01263396
16.0,3.0,-2.7242694,-0.032150324
16.0,4.0,-3.3379874,-0.0027744963
16.0,6.0,-3.2216086,-0.015265027
16.0,7.0,-2.4184902,-0.27602506
16.0,8.0,2.7741773,0.12154341
16.0,12.0,-1.4601939,-0.03850125
16.0,14.0,-2.5270603,-4.320516e-05
16.0,15.0,-3.48439,-0.017997563
16.0,16.0,-1.4814976,-0.015783172
17.0,1.0,-3.4006357,-0.03738609
17.0,2.0,-3.854126,-0.12677354
17.0,3.0,-2.9568965,-0.098641336
17.0,4.0,-0.13583925,-0.004948437
17.0,5.0,-2.8450162,-0.010033932
17.0,8.0,-2.5820916,-0.027539514
17.0,10.0,-1.0981295,-0.09339405
17.0,15.0,-2.7650769,-0.27217582
17.0,17.0,-3.2849538,-0.0015873254
18.0,1.0,-3.7946827,-0.081057176
18.0,2.0,-4.105188,-0.072590135
18.0,4.0,-3.041825,1.5868369e-05
18.0,5.0,-0.38754174,-0.01165387
18.0,7.0,-2.9179823,-0.09117648
18.0,10.0,-3.409372,-0.03232182
18.0,11.0,-3.0168085,-0.0014825102
18.0,14.0,-0.15678573,-0.08497676
18.0,18.0,-0.19000399,-0.034328103
19.0,1.0,-2.2356758,-0.048709832
19.0,2.0,-3.603827,-0.012825523
19.0,3.0,-2.7218456,-0.0006181702
19.0,6.0,-1.7735258,-0.003435026
19.0,7.0,-1.5245041,-0.0075640325
19.0,10.0,-2.5692978,-0.19962186
19.0,12.0,-2.2425675,-0.0004048976
19.0,19.0,-3.3779454,-0.0002779299
20.0,1.0,-1.5801665,-0.040944662
20.0,2.0,-3.7360482,-0.097427174
20.0,4.0,-3.0638008,-0.10549952
20.0,6.0,-2.9818428,-0.00091744884
20.0,8.0,-0.44537935,-0.0024655461
20.0,9.0,0.5171006,0.0025132596
20.0,10.0,-0.19957924,8.795665e-06
20.0,11.0,-1.0568033,-0.04870525
20.0,19.0,-2.696742,-0.113412574
20.0,20.0,-2.9960368,1.1906872e-05
21.0,1.0,-2.9543216,-0.047394924
21.0,3.0,-1.5689257,-0.044506345
21.0,5.0,0.3749824,0.009165745
21.0,6.0,-2.7943463,-4.7636277e-05
21.0,7.0,-2.3086946,-0.03128213
21.0,15.0,-1.0968202,0.023651434
21.0,16.0,-2.2557466,-0.024992261
21.0,21.0,-2.459596,-2.6623195e-05
22.0,1.0,-1.1558299,-0.028323192
22.0,2.0,-1.0494432,-0.003979087
22.0,3.0,-3.6019514,-0.038155477
22.0,4.0,-1.8990271,-0.12182826
22.0,5.0,-1.9775696,-0.022773081
22.0,6.0,-3.2695413,-0.013227898
22.0,7.0,-0.06514585,0.00920029
22.0,8.0,-2.0907087,-0.0032827326
22.0,10.0,0.24038956,0.002395641
22.0,11.0,-2.172808,-0.17564486
22.0,12.0,0.6815331,0.0009754896
23.0,1.0,-4.7673597,-0.09032018
23.0,2.0,-3.568063,-0.10805712
23.0,3.0,-3.4002292,-0.06631494
23.0,4.0,-3.524955,-0.08745274
23.0,8.0,-3.358651,-0.005089839
23.0,10.0,-9.386713,-3.605146e-05
23.0,11.0,2.793437,0.10043818
23.0,15.0,0.32409492,0.006849587
23.0,16.0,0.008698714,0.057472184
23.0,22.0,-2.263086,-0.00014546509
24.0,1.0,-3.9561927,-0.06365029
24.0,2.0,-3.5553162,-0.05156737
24.0,3.0,2.1561353,0.056478932
24.0,5.0,0.78217995,0.07808904
24.0,6.0,-3.30449,-0.086597
24.0,7.0,-1.5845251,-0.012328076
24.0,8.0,-1.9819924,-0.002171094
24.0,9.0,-2.0889242,-0.045897465
24.0,10.0,-2.3091369,-0.16955075
24.0,11.0,-3.4527164,-0.04408989
24.0,12.0,-3.3496459,-0.116217434
25.0,1.0,-2.828442,-0.059642073
25.0,2.0,-3.6322396,-0.05057676
25.0,3.0,-0.8179835,-0.039031066
25.0,4.0,-2.1638572,-0.06006848
25.0,5.0,-2.6218967,-0.01672864
25.0,6.0,2.8464193,0.06581634
25.0,8.0,-1.1091515,-0.04922173
25.0,10.0,-2.101738,-0.00023650553
25.0,11.0,2.8748326,0.061278224
25.0,13.0,-1.9451083,0.018489182
25.0,14.0,3.544327,0.013745326
25.0,18.0,-3.6696198,-0.0001984665
25.0,22.0,2.7460282,0.16685954
25.0,25.0,0.36736593,-9.7588345e-06
26.0,1.0,-0.9346625,-0.013408281
26.0,2.0,-3.41942,-0.06744685
26.0,3.0,0.034368515,-0.05124239
26.0,4.0,-0.7864419,0.002972986
26.0,6.0,-3.019199,-0.0005817737
26.0,10.0,-2.138228,-0.12862939
26.0,12.0,-2.612089,-0.19418597
26.0,14.0,-0.76863784,7.6163633e-07
26.0,22.0,-3.5309343,-0.00047436642
27.0,1.0,-3.45883,-0.05789618
27.0,2.0,-4.572829,-0.05604704
27.0,3.0,-2.878961,-0.10036439
27.0,4.0,-2.036124,-0.023911685
27.0,5.0,-3.5864947,-0.009800677
27.0,8.0,-2.0191383,-0.09552856
27.0,10.0,-1.5211214,-0.06298745
27.0,11.0,-4.1708517,-0.016122125
27.0,13.0,-1.3609893,-0.00047019054
27.0,14.0,0.07727173,0.029839098
27.0,20.0,-2.104177,-0.07526993
27.0,23.0,-2.99567,-0.013868481
28.0,1.0,-2.3079765,-0.041185606
28.0,2.0,-3.0112348,-0.052355066
28.0,3.0,-3.1226947,-0.033003453
28.0,4.0,2.5012176,0.085698634
28.0,5.0,1.9375601,0.1045385
28.0,6.0,-2.2981524,-0.00012522358
28.0,7.0,-0.6255773,-0.0034575027
28.0,9.0,-0.4042237,-0.008022487
28.0,10.0,-0.61683506,-0.040952086
28.0,12.0,0.35944736,0.01158464
28.0,13.0,-0.9369944,0.0009632448
28.0,14.0,0.20120907,0.031345963
