field_position,punt_epa,punt_wpa,opp_td_prob,opp_fg_prob,opp_no_score_prob,touchback_prob,inside_twenty_prob,punt_weighted_points
28.0,-1.8974984,-0.055610612,0.0055720494,0.0042247213,0.45189655,0.0,0.0,-1.8974984
30.0,-1.6945903,0.007612914,0.07812658,0.06332082,0.24189274,0.0,1.0,-1.6945903
33.0,-1.2954898,-0.027107682,0.09039592,0.055367142,0.33576074,0.5,0.5,-1.2954898
34.0,-1.1311239,-0.015411022,0.16965318,0.09913015,0.19559257,0.0,0.6666667,-1.1311239
35.0,0.37163576,-0.0176025,0.16796024,0.10070302,0.16754949,0.0,1.0,0.37163576
36.0,0.06733255,0.017240306,0.104016565,0.09731538,0.4038865,0.0,1.0,0.06733255
37.0,-0.5688774,-0.018648151,0.21384877,0.13779935,0.17684577,0.22222222,0.7777778,-0.5688774
38.0,-0.39271784,-0.027183414,0.21131517,0.13901256,0.23020011,0.29166666,0.7083333,-0.39271784
39.0,-0.56656736,-0.011186411,0.23166548,0.14514,0.174701,0.30769232,0.63461536,-0.56656736
40.0,-0.48281622,-0.012846625,0.21669236,0.14185186,0.21510644,0.22891566,0.73493975,-0.48281622
41.0,-0.3390898,-0.0034818095,0.2227879,0.14170647,0.23052959,0.1875,0.84375,-0.3390898
42.0,-0.2959871,-0.003910626,0.23480211,0.15218423,0.19336316,0.22222222,0.7592593,-0.2959871
43.0,-0.3602162,0.0003903918,0.23041491,0.15040044,0.20349991,0.19090909,0.77272725,-0.3602162
44.0,-0.41910145,-0.0052128267,0.24882154,0.15550043,0.16546881,0.184,0.8,-0.41910145
45.0,-0.344705,-0.0034859118,0.23230474,0.14913143,0.2048492,0.16030534,0.8015267,-0.344705
46.0,-0.21183078,0.0026391628,0.24294145,0.1504181,0.18861486,0.16346154,0.78846157,-0.21183078
47.0,-0.37298068,-0.003791367,0.24048258,0.15330797,0.19731417,0.15652174,0.79130435,-0.37298068
48.0,-0.21701902,-0.0029752508,0.25027546,0.15450908,0.19010213,0.18045112,0.7669173,-0.21701902
49.0,-0.26510277,0.007873477,0.24626441,0.150303,0.20361029,0.13071896,0.8039216,-0.26510277
50.0,-0.33343104,0.0075357426,0.23292226,0.15145905,0.23155175,0.12820514,0.76282054,-0.33343104
